order,目,sub-order,亜目,family,科,sub-family,亜科,属,genus,species,japanese_name,author
Cidaroida,オウサマウニ目,-,-,Cidaridae,オウサマウニ科,Histocidarinae,コウテイウニ亜科,コウテイウニ属,Histocidaris,elegans ,コウテイウニ,新称
Cidaroida,オウサマウニ目,-,-,Cidaridae,オウサマウニ科,Goniocidarinae,トゲザオウニ亜科,トゲザオウニ属,Goniocidaris,biserialis ,トゲザオウニ,-
Cidaroida,オウサマウニ目,-,-,Cidaridae,オウサマウニ科,Goniocidarinae,トゲザオウニ亜科,トゲザオウニ属,Goniocidaris,mikado ,ミカドウニ,-
Cidaroida,オウサマウニ目,-,-,Cidaridae,オウサマウニ科,Goniocidarinae,トゲザオウニ亜科,トゲザオウニ属,Goniocidaris,alba,-,和名未定
Cidaroida,オウサマウニ目,-,-,Cidaridae,オウサマウニ科,Goniocidarinae,トゲザオウニ亜科,トゲザオウニ属,Goniocidaris,fimbriata,-,和名未定
Cidaroida,オウサマウニ目,-,-,Cidaridae,オウサマウニ科,Goniocidarinae,トゲザオウニ亜科,トゲザオウニ属,Goniocidaris,sp.,-,-
Cidaroida,オウサマウニ目,-,-,Cidaridae,オウサマウニ科,Goniocidarinae,トゲザオウニ亜科,ヒメイバラウニ属,Rhopalocidaris,gracilis ,ヒメイバラウニ,新称
Cidaroida,オウサマウニ目,-,-,Cidaridae,オウサマウニ科,Stereocidarinae,ダイオウウニ亜科,ダイオウウニ属,Stereocidaris,grandis ,ダイオウウニ,新称
Cidaroida,オウサマウニ目,-,-,Cidaridae,オウサマウニ科,Stereocidarinae,ダイオウウニ亜科,ダイオウウニ属,Stereocidaris,sceptriferoides,ヤマトオウサマウニ,新称
Cidaroida,オウサマウニ目,-,-,Cidaridae,オウサマウニ科,Stereocidarinae,ダイオウウニ亜科,ダイオウウニ属,Stereocidaris,lanceolata,-,和名未定
Cidaroida,オウサマウニ目,-,-,Cidaridae,オウサマウニ科,Stereocidarinae,ダイオウウニ亜科,ダイオウウニ属,Stereocidaris,indica,-,和名未定
Cidaroida,オウサマウニ目,-,-,Cidaridae,オウサマウニ科,Stereocidarinae,ダイオウウニ亜科,ダイオウウニ属,Stereocidaris,japonica ,ボウズウニ,重井
Cidaroida,オウサマウニ目,-,-,Cidaridae,オウサマウニ科,Stereocidarinae,ダイオウウニ亜科,-,Compsocidaris,pyrsacantha,-,和名未定
Cidaroida,オウサマウニ目,-,-,Cidaridae,オウサマウニ科,Stylocidarinae,サテライトウニ亜科,リュウオウウニ属,Acanthocidaris,maculicollis ,リュウオウウニ,新称
Cidaroida,オウサマウニ目,-,-,Cidaridae,オウサマウニ科,Stylocidarinae,サテライトウニ亜科,サテライトウニ属,Stylocidaris,reini ,サテライトウニ,新称
Cidaroida,オウサマウニ目,-,-,Cidaridae,オウサマウニ科,Stylocidarinae,サテライトウニ亜科,サテライトウニ属,Stylocidaris,bracteata ,ニシキサテライトウニ,新称
Cidaroida,オウサマウニ目,-,-,Cidaridae,オウサマウニ科,Stylocidarinae,サテライトウニ亜科,サテライトウニ属,Stylocidaris,ryukyuensis,カステラウニ,重井
Cidaroida,オウサマウニ目,-,-,Cidaridae,オウサマウニ科,Stylocidarinae,サテライトウニ亜科,コビトオウサマウニ属,Chorocidaris,fusispina,コビトオウサマウニ,新称
Cidaroida,オウサマウニ目,-,-,Cidaridae,オウサマウニ科,Stylocidarinae,サテライトウニ亜科,マツカサウニ属,Eucidaris,metularia ,マツカサウニ,-
Cidaroida,オウサマウニ目,-,-,Cidaridae,オウサマウニ科,Stylocidarinae,サテライトウニ亜科,フシザオウニ属,Plococidaris,verticillata ,フシザオウニ,-
Cidaroida,オウサマウニ目,-,-,Cidaridae,オウサマウニ科,Stylocidarinae,サテライトウニ亜科,ノコギリウニ属,Prionocidaris,baculosa ,ノコギリウニ,-
